Iteration,Value
0,48
10,54
20,60
30,63
40,66
50,68
60,74
70,75
80,78
90,79
100,82
110,83
120,85
130,86
140,88
150,88
160,89
170,91
180,91
190,92
200,93
210,94
220,94
230,94
240,95
250,95
260,96
270,96
280,96
290,97
300,97
310,97
320,97
330,98
340,98
350,98
360,98
370,98
380,98
390,98
400,99
410,99
420,99
430,99
440,99
450,99
460,99
470,99
480,99
490,99
500,99
